w,w1,l21,l22,w2,FOM
1.0,3.5,7.3,7.3,1.0,1979.163634694141
1.0,3.5,7.3,7.3,1.5,1976.112116983539
1.0,3.5,7.3,7.3,2.0,1988.959001475299
1.0,3.5,7.3,7.3,2.5,2021.1275535817886
1.0,3.5,7.3,7.3,3.0,2090.206307526293
1.0,3.5,7.3,7.3,3.5,2265.5548163472486
1.1,1.5,6.3,6.3,1.5,2193.985061827698
1.2,1.5,6.3,6.3,1.5,2279.4380662881067
1.3,1.5,6.3,6.3,1.5,2336.2805567769456
1.4,1.5,6.3,6.3,1.5,2388.6292271350053
1.5,1.0,6.3,6.3,1.0,2464.64232523889
1.5,1.0,6.3,6.3,1.5,2514.8442261606206
1.5,1.0,6.3,6.3,2.0,2558.461347516902
1.5,1.0,6.3,6.3,2.5,2578.845514015081
1.5,1.0,6.3,6.3,3.0,2650.5213513735225
1.5,1.0,6.3,6.3,3.5,2742.001329902624
1.5,1.0,6.3,6.8,1.0,2515.0914496093146
1.5,1.0,6.3,6.8,1.5,2504.2599347096952
1.5,1.0,6.3,6.8,2.0,2532.473741540752
1.5,1.0,6.3,6.8,2.5,2581.4227157915398
1.5,1.0,6.3,6.8,3.0,2644.6490202999616
1.5,1.0,6.3,6.8,3.5,2758.490792574311
1.5,1.0,6.3,7.3,1.0,2563.5220172317
1.5,1.0,6.3,7.3,1.5,2555.172097775158
1.5,1.0,6.3,7.3,2.0,2570.9968157521234
1.5,1.0,6.3,7.3,2.5,2582.5232284181825
1.5,1.0,6.3,7.3,3.0,2660.801932713024
1.5,1.0,6.3,7.3,3.5,2788.8235316027685
1.5,1.0,6.8,6.3,1.0,2515.1460316532675
1.5,1.0,6.8,6.3,1.5,2504.2618004822607
1.5,1.0,6.8,6.3,2.0,2532.5193561988367
1.5,1.0,6.8,6.3,2.5,2581.45163712155
1.5,1.0,6.8,6.3,3.0,2644.6669453351255
1.5,1.0,6.8,6.3,3.5,2758.507153279993
1.5,1.0,6.8,6.8,1.0,2450.8767718343443
1.5,1.0,6.8,6.8,1.5,2451.486349368634
1.5,1.0,6.8,6.8,2.0,2468.5678028547386
1.5,1.0,6.8,6.8,2.5,2495.9671307739895
1.5,1.0,6.8,6.8,3.0,2547.1573412629186
1.5,1.0,6.8,6.8,3.5,2654.7655299981197
1.5,1.0,6.8,7.3,1.0,2445.8936671116894
1.5,1.0,6.8,7.3,1.5,2412.761370874997
1.5,1.0,6.8,7.3,2.0,2416.166573877519
1.5,1.0,6.8,7.3,2.5,2435.6086955544483
1.5,1.0,6.8,7.3,3.0,2464.8848649502406
1.5,1.0,6.8,7.3,3.5,2573.523903009167
1.5,1.0,7.3,6.3,1.0,2563.6133858304365
1.5,1.0,7.3,6.3,1.5,2555.2404703306606
1.5,1.0,7.3,6.3,2.0,2571.0587937934642
1.5,1.0,7.3,6.3,2.5,2582.6457094201437
1.5,1.0,7.3,6.3,3.0,2660.9229575091313
1.5,1.0,7.3,6.3,3.5,2788.973025250934
1.5,1.0,7.3,6.8,1.0,2445.967761628565
1.5,1.0,7.3,6.8,1.5,2412.7968660322667
1.5,1.0,7.3,6.8,2.0,2416.1961690987728
1.5,1.0,7.3,6.8,2.5,2435.6722440322565
1.5,1.0,7.3,6.8,3.0,2464.9078159780393
1.5,1.0,7.3,6.8,3.5,2573.5748486482908
1.5,1.0,7.3,7.3,1.0,2353.4720783010134
1.5,1.0,7.3,7.3,1.5,2341.536340019913
1.5,1.0,7.3,7.3,2.0,2328.734937536962
1.5,1.0,7.3,7.3,2.5,2329.4363354639017
1.5,1.0,7.3,7.3,3.0,2346.866804286682
1.5,1.0,7.3,7.3,3.5,2391.3005557273564
1.5,1.1,6.3,6.3,1.5,2501.664508811622
1.5,1.2,6.3,6.3,1.5,2486.970357234442
1.5,1.3,6.3,6.3,1.5,2469.3284861171514
1.5,1.4,6.3,6.3,1.5,2462.5378898278036
1.5,1.5,6.3,6.3,1.0,2360.448432767259
1.5,1.5,6.3,6.3,1.1,2397.8882259035436
1.5,1.5,6.3,6.3,1.2,2419.687561510702
1.5,1.5,6.3,6.3,1.3,2427.436997120637
1.5,1.5,6.3,6.3,1.4,2438.009903597489
